city,state,population
Logansport ,IN,"18,663"
Elmwood Park,NJ,"18,634"
Pinecrest,FL,"18,614"
Angleton ,TX,"18,613"
Tullahoma ,TN,"18,579"
Manchester ,MO,"18,569"
Baldwin,PA,"18,562"
Shelbyville ,IN,"18,516"
Forest Park ,OH,"18,514"
Ansonia ,CT,"18,503"
Sand Springs ,OK,"18,489"
Coralville ,IA,"18,478"
Homewood,IL,"18,475"
Painesville ,OH,"18,474"
Orinda ,CA,"18,445"
Hinsdale,IL,"18,439"
Rolla ,MO,"18,438"
Cortland ,NY,"18,434"
Mamaroneck,NY,"18,413"
Palestine ,TX,"18,390"
McAlester ,OK,"18,388"
Carlisle,PA,"18,379"
Universal City ,TX,"18,376"
New Castle ,IN,"18,339"
West Chester,PA,"18,315"
Chambersburg,PA,"18,302"
Augusta ,ME,"18,282"
Marshfield ,WI,"18,267"
Natchitoches ,LA,"18,241"
Marysville ,OH,"18,212"
Columbia Heights ,MN,"18,210"
Bellaire ,TX,"18,197"
Whitehall ,OH,"18,180"
Laguna Woods ,CA,"18,170"
Carrboro,NC,"18,162"
Newton ,KS,"18,133"
Saco ,ME,"18,125"
Covington ,WA,"18,115"
Ozark ,MO,"18,095"
Brookfield,IL,"18,077"
Windsor,CO,"18,058"
Clarksdale ,MS,"18,006"
Hawthorne,NJ,"17,997"
Montrose ,CO,"17,989"
Berea ,OH,"17,987"
Frankfort,IL,"17,981"
Vincennes ,IN,"17,976"
Franklin Park,IL,"17,965"
Trenton ,MI,"17,965"
Hazel Park ,MI,"17,955"
Camas ,WA,"17,950"
Marina ,CA,"17,943"
Stillwater ,MN,"17,896"
Bay City ,TX,"17,891"
Lenoir ,NC,"17,890"
Dickinson ,TX,"17,886"
Belton ,TX,"17,876"
Dover,NJ,"17,860"
Willmar ,MN,"17,774"
Colonial Heights ,VA,"17,768"
Mayfield Heights ,OH,"17,737"
Mustang ,OK,"17,727"
Washington ,UT,"17,716"
Raymore ,MO,"17,703"
Takoma Park ,MD,"17,701"
Scarsdale,NY,"17,695"
Herriman ,UT,"17,689"
Westminster ,MD,"17,689"
North Ogden ,UT,"17,682"
Madison ,MS,"17,681"
Sycamore ,IL,"17,679"
Lackawanna ,NY,"17,588"
New Port Richey ,FL,"17,578"
South Burlington ,VT,"17,574"
Springboro ,OH,"17,551"
Newburyport ,MA,"17,542"
Amsterdam ,NY,"17,533"
Pickerington ,OH,"17,531"
Godfrey,IL,"17,524"
Wilkinsburg,PA,"17,522"
Douglas ,AZ,"17,515"
Converse ,TX,"17,510"
Dublin ,GA,"17,509"
Lindenwold,NJ,"17,485"
Gardner ,KS,"17,462"
Claremore ,OK,"17,458"
Rutherford,NJ,"17,454"
Hannibal ,MO,"17,432"
Payson ,UT,"17,429"
Bristol ,VA,"17,424"
Matteson,IL,"17,420"
Dixon ,CA,"17,412"
Twinsburg ,OH,"17,394"
Albert Lea ,MN,"17,389"
Marion ,IL,"17,388"
Massapequa Park,NY,"17,385"
Pampa ,TX,"17,382"
Sherwood ,OR,"17,373"
Forest Lake ,MN,"17,373"
Kirksville ,MO,"17,368"
Oswego ,NY,"17,351"
Tiffin ,OH,"17,347"
Susanville ,CA,"17,336"
Golden ,CO,"17,321"
New Philadelphia ,OH,"17,319"
Tallmadge ,OH,"17,293"
Anoka ,MN,"17,289"
Tifton ,GA,"17,284"
Broadview Heights ,OH,"17,274"
Oxford ,MS,"17,265"
Springfield ,TN,"17,261"
Ashwaubenon,WI,"17,235"
Clemmons,NC,"17,234"
Farmington ,UT,"17,217"
Sugar Hill ,GA,"17,204"
Lathrop ,CA,"17,197"
Sheridan ,WY,"17,197"
Morganton ,NC,"17,194"
Erlanger ,KY,"17,188"
Arroyo Grande ,CA,"17,180"
Mattoon ,IL,"17,177"
Wisconsin Rapids ,WI,"17,164"
Santa Fe Springs ,CA,"17,159"
Elko ,NV,"17,156"
Ocean Springs ,MS,"17,149"
Avenal ,CA,"17,147"
Fairhope ,AL,"17,147"
Simpsonville ,SC,"17,144"
Ellensburg ,WA,"17,141"
Dyersburg ,TN,"17,126"
Poplar Bluff ,MO,"17,096"
Donna ,TX,"17,094"
Tukwila ,WA,"17,092"
Safety Harbor ,FL,"17,089"
Avon ,OH,"17,086"
Goodlettsville ,TN,"17,075"
Laconia ,NH,"17,065"
Chickasha ,OK,"17,062"
Monroe ,WA,"17,059"
Sikeston ,MO,"17,053"
Moraga,CA,"17,050"
Perrysburg ,OH,"17,049"
Arcata ,CA,"17,044"
Martinsburg ,WV,"17,020"
Fuquay-Varina,NC,"17,002"
Vero Beach ,FL,"16,982"
Dumont,NJ,"16,968"
Union City ,GA,"16,961"
Hopkins ,MN,"16,961"
Talladega ,AL,"16,943"
North Canton ,OH,"16,925"
Palos Hills ,IL,"16,924"
Stephenville ,TX,"16,921"
Bartow ,FL,"16,919"
Mill Creek ,WA,"16,907"
Mineral Wells ,TX,"16,880"
Creve Coeur ,MO,"16,868"
Sevierville ,TN,"16,846"
Beckley ,WV,"16,832"
Battle Ground ,WA,"16,812"
Arlington ,WA,"16,810"
Bonney Lake ,WA,"16,809"
Anacortes ,WA,"16,798"
Mount Clemens ,MI,"16,781"
Onalaska ,WI,"16,778"
St. Marys ,GA,"16,763"
Howard,WI,"16,753"
Round Lake,IL,"16,748"
Rutland ,VT,"16,742"
Highland Village ,TX,"16,737"
Country Club Hills ,IL,"16,723"
Grandville ,MI,"16,718"
Rancho Mirage ,CA,"16,714"
Belle Glade ,FL,"16,681"
Fremont ,OH,"16,655"
Fairview Heights ,IL,"16,643"
La Vista ,NE,"16,643"
Shively ,KY,"16,641"
Millbrook ,AL,"16,640"
Norwalk ,OH,"16,637"
Menasha ,WI,"16,627"
Tahlequah ,OK,"16,623"
Alamo ,TX,"16,608"
Winchester ,KY,"16,598"
Asbury Park ,NJ,"16,546"
El Reno ,OK,"16,545"
Westbrook ,ME,"16,534"
Americus ,GA,"16,524"
Huntington ,IN,"16,521"
Yorkville ,IL,"16,505"
Central Point ,OR,"16,503"
Portland ,TX,"16,490"
Cocoa ,FL,"16,478"
Midlothian ,TX,"16,478"
Gainesville ,TX,"16,452"
Durant ,OK,"16,450"
Mesquite ,NV,"16,444"
Palm Springs,FL,"16,442"
Clarksburg ,WV,"16,441"
Erie,CO,"16,432"
Durango ,CO,"16,416"
Natchez ,MS,"16,413"
Roanoke Rapids ,NC,"16,403"
Gretna ,LA,"16,399"
Frankfort ,IN,"16,394"
Bella Vista,AR,"16,388"
Phoenixville,PA,"16,382"
Pendleton ,OR,"16,380"
South Houston ,TX,"16,351"
Punta Gorda ,FL,"16,343"
Hermitage ,PA,"16,327"
Sunny Isles Beach ,FL,"16,317"
American Canyon ,CA,"16,315"
Griffith,IN,"16,311"
Gautier ,MS,"16,306"
DeBary ,FL,"16,303"
White Settlement ,TX,"16,301"
Mount Vernon ,IL,"16,298"
Suwanee ,GA,"16,277"
Brunswick ,GA,"16,269"
Artesia ,CA,"16,244"
Middleton ,WI,"16,244"
El Segundo ,CA,"16,217"
Hibbing ,MN,"16,209"
Maumelle ,AR,"16,201"
Easthampton ,MA,"16,195"
Highland ,UT,"16,189"
Truckee,CA,"16,185"
Lemont,IL,"16,176"
Uvalde ,TX,"16,142"
Radford ,VA,"16,125"
Blytheville ,AR,"16,105"
Farmington ,MO,"16,097"
Nederland ,TX,"16,096"
Greenwood ,MS,"16,084"
Hanahan ,SC,"16,065"
Defiance ,OH,"16,063"
Saratoga Springs ,UT,"16,053"
Prospect Heights ,IL,"16,047"
Aberdeen ,WA,"16,042"
Morton,IL,"16,039"
Mount Vernon ,OH,"16,037"
Dickinson ,ND,"16,035"
Waterville ,ME,"16,016"
Madison,NJ,"16,009"
Albany ,CA,"16,004"
New Milford,NJ,"15,947"
Dyer,IN,"15,913"
Lexington,SC,"15,901"
Conway ,SC,"15,894"
Dallas ,OR,"15,892"
South Ogden ,UT,"15,891"
Ca_on City ,CO,"15,889"
Stuart ,FL,"15,858"
Henderson ,NC,"15,850"
Floral Park,NY,"15,846"
North Myrtle Beach ,SC,"15,816"
North Aurora,IL,"15,812"
Shafter ,CA,"15,800"
Newport ,KY,"15,766"
Fairview Park ,OH,"15,762"
Hueytown ,AL,"15,751"
Centerville ,UT,"15,720"
Westchester,IL,"15,710"
Centralia ,WA,"15,710"
Johnston ,IA,"15,691"
Red Wing ,MN,"15,687"
South River,NJ,"15,682"
Coos Bay ,OR,"15,665"
Canby ,OR,"15,637"
Marco Island ,FL,"15,634"
Overland ,MO,"15,632"
Powder Springs ,GA,"15,614"
La Palma ,CA,"15,603"
Jenks ,OK,"15,590"
West University Place ,TX,"15,583"
Menomonie ,WI,"15,581"
Great Bend ,KS,"15,564"
Laurinburg ,NC,"15,548"
Lansdale,PA,"15,526"
Danville ,KY,"15,524"
Albemarle ,NC,"15,522"
Shorewood,IL,"15,521"
Hopatcong,NJ,"15,491"
Payson,AZ,"15,486"
Deming ,NM,"15,480"
Sulphur Springs ,TX,"15,473"
Greeneville,TN,"15,440"
Troutdale ,OR,"15,438"
Kaukauna ,WI,"15,414"
Moultrie ,GA,"15,409"
Center Point ,AL,"15,408"
Lebanon ,IN,"15,400"
Lebanon ,OR,"15,397"
Hyattsville ,MD,"15,376"
Secaucus,NJ,"15,372"
West Melbourne ,FL,"15,328"
Depew,NY,"15,307"
Hermiston ,OR,"15,297"
Cullman ,AL,"15,295"
Opa-locka ,FL,"15,287"
Riverdale ,GA,"15,279"
St. Michael ,MN,"15,278"
Brenham ,TX,"15,270"
Lynn Haven ,FL,"15,254"
Gatesville ,TX,"15,252"
Greensburg ,PA,"15,249"
La Grange,IL,"15,244"
Clive ,IA,"15,234"
Montgomery,IL,"15,229"
Hawaiian Gardens ,CA,"15,229"
Forest Park,IL,"15,224"
Forney ,TX,"15,223"
Greenfield ,CA,"15,222"
Fort Thomas ,KY,"15,222"
Batavia ,NY,"15,202"
Harrison,NJ,"15,201"
Milton ,GA,"15,156"
Grosse Pointe Woods ,MI,"15,154"
Lake Mary ,FL,"15,143"
Fayetteville ,GA,"15,136"
Beaver Dam ,WI,"15,133"
Mercedes ,TX,"15,131"
Sterling ,IL,"15,124"
Cahokia,IL,"15,103"
Alexander City ,AL,"15,080"
Arvin ,CA,"15,070"
Westbury,NY,"15,065"
Rye ,NY,"15,060"
Fillmore ,CA,"15,053"
Crawfordsville ,IN,"15,043"
Newton ,IA,"15,042"
Clearlake ,CA,"15,040"
Bryant ,AR,"15,040"
Dixon ,IL,"15,033"
Bellevue,WI,"15,031"
Bridgeton ,MO,"15,028"
Hanover,PA,"15,025"
Cohoes ,NY,"15,025"
Ham Lake ,MN,"15,020"
Mount Pleasant ,TX,"15,011"
Kenmore,NY,"15,002"
Scottsboro ,AL,"14,994"
Bridgeview,IL,"14,991"
Paradise Valley,AZ,"14,990"
Gloversville ,NY,"14,990"
Covington ,GA,"14,980"
Bradley,IL,"14,964"
Addison,TX,"14,964"
Owosso ,MI,"14,963"
Ukiah ,CA,"14,956"
Sunnyside ,WA,"14,949"
Lady Lake,FL,"14,940"
New Franklin ,OH,"14,937"
Maitland ,FL,"14,931"
Middleburg Heights ,OH,"14,928"
Vienna,VA,"14,903"
Fraser ,MI,"14,902"
Humble ,TX,"14,899"
Pooler ,GA,"14,875"
Reidsville ,NC,"14,871"
Sharon ,PA,"14,869"
Elkton,MD,"14,842"
Siloam Springs ,AR,"14,825"
Tonawanda ,NY,"14,819"
Calhoun ,GA,"14,807"
Berkley ,MI,"14,787"
Scottsbluff ,NE,"14,785"
Murphy ,TX,"14,779"
Pineville ,LA,"14,776"
Waycross ,GA,"14,774"
Ocean City ,NJ,"14,756"
Indiana,PA,"14,754"
Washington ,PA,"14,754"
Mitchell ,SD,"14,752"
Johnson City,NY,"14,727"
Boulder City ,NV,"14,720"
Allouez,WI,"14,718"
Ozark ,AL,"14,711"
North Arlington,NJ,"14,701"
Lindenhurst,IL,"14,695"
Oroville ,CA,"14,684"
Easton,MD,"14,677"
Grenada ,MS,"14,664"
Tenafly,NJ,"14,662"
Panama City Beach ,FL,"14,642"
Helena ,AL,"14,639"
Jamestown ,ND,"14,630"
Jennings ,MO,"14,625"
Front Royal,VA,"14,616"
Bay Village ,OH,"14,606"
Canyon ,TX,"14,602"
Pacific Grove ,CA,"14,601"
Ramsey,NJ,"14,595"
Beacon ,NY,"14,566"
California City ,CA,"14,556"
Cibolo ,TX,"14,555"
Aurora ,OH,"14,548"
Canton ,IL,"14,545"
Martinsville ,VA,"14,543"
Lincoln ,IL,"14,541"
Graham ,NC,"14,533"
Phillipsburg,NJ,"14,528"
Eufaula ,AL,"14,502"
Hereford ,TX,"14,499"
Streetsboro ,OH,"14,488"
Lake Wales ,FL,"14,474"
Ripon ,CA,"14,473"
Sunland Park ,NM,"14,453"
West Park ,FL,"14,432"
Berea ,KY,"14,431"
Pottsville ,PA,"14,405"
Traverse City ,MI,"14,398"
Groves ,TX,"14,393"
Washington ,MO,"14,392"
Jacksonville ,TX,"14,367"
Indianola ,IA,"14,361"
Stockbridge ,GA,"14,360"
Auburndale ,FL,"14,353"
River Falls ,WI,"14,352"
Lebanon ,MO,"14,336"
Beech Grove ,IN,"14,316"
Marietta ,OH,"14,307"
Glasgow ,KY,"14,302"
Whitewater ,WI,"14,291"
Palmetto ,FL,"14,284"
Athens ,TN,"14,275"
Corinth ,MS,"14,253"
Zachary ,LA,"14,252"
Highland Park,NJ,"14,245"
La Marque ,TX,"14,236"
Greenwood Village ,CO,"14,230"
Moberly ,MO,"14,227"
Buffalo ,MN,"14,222"
Eatontown,NJ,"14,195"
Oconomowoc ,WI,"14,172"
Riverdale,IL,"14,163"
Lake St. Louis ,MO,"14,160"
Los Lunas,NM,"14,153"
Highland Park ,MI,"14,153"
Olean ,NY,"14,149"
Jasper ,AL,"14,131"
Vandalia ,OH,"14,124"
Jasper ,IN,"14,116"
Tumwater ,WA,"14,100"
Sault Ste. Marie ,MI,"14,087"
Hazel Crest,IL,"14,075"
Winder ,GA,"14,064"
Fort Payne ,AL,"14,061"
Thibodaux ,LA,"14,052"
Channahon,IL,"14,030"
Red Bluff ,CA,"14,025"
Aberdeen ,MD,"13,993"
Greendale,WI,"13,978"
Dunmore,PA,"13,978"
Culpeper,VA,"13,977"
Dickson ,TN,"13,972"
Elizabethton ,TN,"13,955"
Norridge,IL,"13,954"
Moss Point ,MS,"13,951"
Rio Grande City ,TX,"13,950"
Boone,NC,"13,945"
Washington ,IL,"13,942"
Butler ,PA,"13,933"
Connersville ,IN,"13,931"
Crowley ,LA,"13,922"
Dumas ,TX,"13,916"
Carthage ,MO,"13,916"
Sartell ,MN,"13,915"
West Columbia ,SC,"13,914"
Katy ,TX,"13,913"
Hutchinson ,MN,"13,913"
Callaway ,FL,"13,899"
Pierre ,SD,"13,899"
Antioch,IL,"13,892"
Hartselle ,AL,"13,888"
Glens Falls ,NY,"13,877"
Otsego ,MN,"13,874"
Forest Hill ,TX,"13,858"
Maumee ,OH,"13,856"
Wood Dale ,IL,"13,855"
Altoona ,IA,"13,854"
Hartford ,WI,"13,853"
Lyndhurst ,OH,"13,848"
Las Vegas ,NM,"13,818"
Collingswood,NJ,"13,817"
Morris ,IL,"13,812"
Foley ,AL,"13,807"
Yankton ,SD,"13,798"
Streator ,IL,"13,780"
Cusseta,GA,"13,754"
Tavares ,FL,"13,746"
Jackson ,MO,"13,744"
Willowick ,OH,"13,727"
North Adams ,MA,"13,711"
Morrisville,NC,"13,699"
Brainerd ,MN,"13,691"
New Haven ,IN,"13,685"
McComb ,MS,"13,684"
Circleville ,OH,"13,681"
New Kensington ,PA,"13,667"
Gardendale ,AL,"13,665"
South Daytona ,FL,"13,662"
Lockhart ,TX,"13,661"
Kingsland ,GA,"13,659"
Midlothian,IL,"13,657"
Zionsville,IN,"13,655"
Carpinteria ,CA,"13,655"
Washington Court House ,OH,"13,654"
Imperial ,CA,"13,648"
Ammon ,ID,"13,646"
Middlesex,NJ,"13,644"
Fergus Falls ,MN,"13,636"
Warsaw ,IN,"13,627"
Warrensville Heights ,OH,"13,618"
Lake Stevens ,WA,"13,599"
Hutto ,TX,"13,599"
Palos Verdes Estates ,CA,"13,585"
Whitefish Bay,WI,"13,584"
Centralia ,IL,"13,569"
Hewitt ,TX,"13,561"
Conyers ,GA,"13,545"
Bemidji ,MN,"13,541"
Fairview,NJ,"13,540"
Robbinsdale ,MN,"13,518"
Washougal ,WA,"13,509"
Longwood ,FL,"13,493"
Richmond ,TX,"13,493"
Bedford ,IN,"13,486"
Weston,WI,"13,447"
North Salt Lake ,UT,"13,446"
Commerce ,CA,"13,435"
Wixom ,MI,"13,425"
Hammonton,NJ,"13,424"
St. Marys ,PA,"13,409"
Oldsmar ,FL,"13,401"
Livingston ,CA,"13,400"
Moody ,AL,"13,400"
Whitehall,PA,"13,400"
McPherson ,KS,"13,396"
Princeton,NJ,"13,391"
Monroe ,GA,"13,381"
Sharonville ,OH,"13,377"
Newton ,NC,"13,372"
Chicago Ridge,IL,"13,366"
Baker ,LA,"13,360"
Kuna ,ID,"13,354"
Hickory Hills ,IL,"13,326"
Hurricane ,UT,"13,321"
Worthington ,OH,"13,314"
Oakland,NJ,"13,312"
Brookhaven ,MS,"13,296"
Forrest City ,AR,"13,281"
Parlier ,CA,"13,273"
McMinnville ,TN,"13,270"
Mill Valley ,CA,"13,268"
Hope Mills,NC,"13,262"
Lake Station ,IN,"13,246"
Meadville ,PA,"13,233"
Shorewood,WI,"13,226"
Orangeburg ,SC,"13,224"
Auburn ,CA,"13,219"
Geneva ,NY,"13,216"
Oneonta ,NY,"13,208"
Harrison ,AR,"13,200"
Gaffney ,SC,"13,200"
Holly Hill ,FL,"13,199"
Zephyrhills ,FL,"13,152"
Atlantic Beach ,FL,"13,147"
Live Oak ,TX,"13,142"
Hugo ,MN,"13,139"
Grover Beach ,CA,"13,131"
Beach Park,IL,"13,119"
Clermont ,FL,"13,100"
Metuchen,NJ,"13,098"
Havre de Grace ,MD,"13,085"
Ephrata,PA,"13,074"
Sweetwater ,FL,"13,072"
New Ulm ,MN,"13,048"
Horizon City ,TX,"13,043"
Warrenville ,IL,"13,033"
Muscle Shoals ,AL,"13,032"
Miami ,OK,"13,027"
Auburn ,IN,"13,026"
Clemson ,SC,"13,012"
Malibu ,CA,"13,009"
Fostoria ,OH,"13,000"
St. John,IN,"12,999"
Glendale ,WI,"12,992"
Greenville ,OH,"12,983"
Wickliffe ,OH,"12,983"
Claremont ,NH,"12,968"
Stoughton ,WI,"12,966"
Bedford ,OH,"12,965"
Smithfield,NC,"12,965"
Minden ,LA,"12,962"
Saraland ,AL,"12,946"
Kingston,PA,"12,943"
Fernley ,NV,"12,942"
Franklin ,OH,"12,941"
Chippewa Falls ,WI,"12,929"
Swansea,IL,"12,927"
West Monroe ,LA,"12,899"
Lewisville,NC,"12,878"
Hayden ,ID,"12,873"
Mount Dora ,FL,"12,869"
Brecksville ,OH,"12,851"
Ottawa ,KS,"12,850"
Sylacauga ,AL,"12,843"
Richton Park,IL,"12,842"
Pell City ,AL,"12,841"
Villa Rica ,GA,"12,838"
Solana Beach ,CA,"12,825"
San Marino ,CA,"12,808"
Lebanon ,NH,"12,806"
Roselle Park,NJ,"12,802"
Sterling ,CO,"12,800"
Blue Ash ,OH,"12,783"
Bloomsburg,PA,"12,772"
Beatrice ,NE,"12,769"
St. Ann ,MO,"12,766"
West Carrollton City ,OH,"12,761"
Babylon,NY,"12,760"
Eloy ,AZ,"12,750"
Kerman ,CA,"12,737"
Madison ,IN,"12,716"
Fulton ,MO,"12,707"
Chesterton,IN,"12,705"
Western Springs,IL,"12,690"
Englewood ,OH,"12,686"
Pataskala ,OH,"12,683"
Beeville ,TX,"12,682"
La Grande ,OR,"12,682"
Ringwood,NJ,"12,681"
Borger ,TX,"12,677"
Southern Pines,NC,"12,675"
Bellefontaine ,OH,"12,665"
Brigantine ,NJ,"12,647"
Marshall ,MN,"12,647"
Cayce ,SC,"12,646"
Happy Valley ,OR,"12,643"
Williston ,ND,"12,641"
Somerville,NJ,"12,637"
Okmulgee ,OK,"12,634"
Woodhaven ,MI,"12,634"
Wilton Manors ,FL,"12,616"
Boone ,IA,"12,614"
Glen Carbon,IL,"12,607"
Bogalusa ,LA,"12,607"
Port Neches ,TX,"12,604"
Wilmington ,OH,"12,603"
Speedway,IN,"12,594"
Mountain Home ,AR,"12,592"
El Dorado ,KS,"12,591"
Ionia ,MI,"12,589"
Harper Woods ,MI,"12,584"
Destin ,FL,"12,563"
Miami Springs ,FL,"12,534"
North Mankato ,MN,"12,530"
Canton ,MS,"12,520"
University Heights ,OH,"12,519"
Soddy-Daisy ,TN,"12,511"
St. Helens ,OR,"12,510"
Bexley ,OH,"12,507"
Vadnais Heights ,MN,"12,506"
Pewaukee ,WI,"12,494"
Freeport ,TX,"12,494"
Effingham ,IL,"12,489"
Williamsburg ,VA,"12,481"
Palos Heights ,IL,"12,469"
Dover ,OH,"12,466"
New Carrollton ,MD,"12,460"
Levelland ,TX,"12,450"
Half Moon Bay ,CA,"12,449"
Somerset ,KY,"12,449"
Lake Forest Park ,WA,"12,438"
Lake City ,FL,"12,427"
South Charleston ,WV,"12,427"
Mandeville ,LA,"12,421"
Endicott,NY,"12,411"
La Grange Park,IL,"12,404"
St. Augustine ,FL,"12,404"
Derby ,CT,"12,393"
Florham Park,NJ,"12,389"
Mountain Home ,ID,"12,382"
Winnetka,IL,"12,371"
Ridgefield Park,NJ,"12,370"
Crowley ,TX,"12,368"
Waukee ,IA,"12,367"
Conneaut ,OH,"12,355"
Somerton ,AZ,"12,346"
Herrin ,IL,"12,337"
Bainbridge ,GA,"12,337"
Pinehurst,NC,"12,331"
Gulfport ,FL,"12,327"
Show Low ,AZ,"12,324"
Athens ,TX,"12,320"
Hernando ,MS,"12,318"
Niceville ,FL,"12,313"
Kewanee ,IL,"12,302"
Peru ,IN,"12,301"
Woodward ,OK,"12,299"
East Wenatchee ,WA,"12,286"
Bucyrus ,OH,"12,252"
Markham ,IL,"12,248"
Avon,IN,"12,238"
Taylorville ,IL,"12,238"
Long Beach ,MS,"12,234"
Grass Valley ,CA,"12,232"
Wauconda,IL,"12,219"
Cleveland ,MS,"12,218"
Marion ,AR,"12,217"
Portales ,NM,"12,215"
Escanaba ,MI,"12,214"
Grand Terrace ,CA,"12,204"
Hudson ,WI,"12,196"
Wanaque,NJ,"12,195"
Patchogue,NY,"12,194"
Helena-West Helena ,AR,"12,190"
Rantoul,IL,"12,189"
Kelso ,WA,"12,188"
Ventnor City ,NJ,"12,187"
Robstown ,TX,"12,179"
Monroe ,OH,"12,178"
Franklin Park,PA,"12,172"
Clawson ,MI,"12,157"
Middletown,DE,"12,152"
North Palm Beach,FL,"12,149"
Green River ,WY,"12,149"
Marshall ,MO,"12,118"
Abbeville ,LA,"12,103"
McFarland ,CA,"12,098"
Lower Burrell ,PA,"12,087"
Dunkirk ,NY,"12,085"
Gladstone ,OR,"12,079"
Elizabethtown,PA,"12,069"
West Plains ,MO,"12,045"
Sauk Rapids ,MN,"12,013"
Kilgore ,TX,"12,010"
Hendersonville ,NC,"12,005"
Mounds View ,MN,"12,005"
Excelsior Springs ,MO,"12,002"
Seagoville ,TX,"11,998"
East Liverpool ,OH,"11,996"
San Anselmo,CA,"11,986"
Hidalgo ,TX,"11,984"
Mount Washington ,KY,"11,980"
Somersworth ,NH,"11,967"
South Sioux City ,NE,"11,936"
Cocoa Beach ,FL,"11,920"
West Paterson,NJ,"11,908"
New Providence,NJ,"11,905"
The Dalles ,OR,"11,897"
Fort Atkinson ,WI,"11,895"
East Bethel ,MN,"11,895"
Plano ,IL,"11,886"
Red Bank,NJ,"11,866"
Poquoson ,VA,"11,829"
Chubbuck ,ID,"11,828"
Riverview ,MI,"11,817"
Bastrop ,LA,"11,814"
Lincolnwood,IL,"11,810"
Two Rivers ,WI,"11,807"
Martinsville ,IN,"11,800"
Picayune ,MS,"11,787"
Evanston ,WY,"11,781"
Salem ,OH,"11,781"
Buford ,GA,"11,780"
Monticello ,MN,"11,780"
Mooresville,IN,"11,763"
Satellite Beach ,FL,"11,762"
Beaufort ,SC,"11,755"
Cambridge ,MD,"11,752"
Lynden ,WA,"11,737"
Tehachapi ,CA,"11,736"
Loveland ,OH,"11,734"
Federal Heights ,CO,"11,732"
Amherst ,OH,"11,724"
Plover,WI,"11,720"
Brown Deer,WI,"11,716"
Garden City ,ID,"11,713"
Marysville ,CA,"11,700"
Larkspur ,CA,"11,693"
Irmo,SC,"11,684"
Uniontown ,PA,"11,682"
Fenton ,MI,"11,678"
Los Alamitos ,CA,"11,656"
Henderson ,TX,"11,631"
King City ,CA,"11,627"
Coatesville ,PA,"11,624"
Muskegon Heights ,MI,"11,623"
Franklin Lakes,NJ,"11,619"
Seven Hills ,OH,"11,616"
Grafton,WI,"11,613"
Fernandina Beach ,FL,"11,610"
Morgan City ,LA,"11,604"
Lilburn ,GA,"11,599"
Sedona ,AZ,"11,599"
Crossville ,TN,"11,599"
Mendota Heights ,MN,"11,594"
Schiller Park,IL,"11,573"
Red Bank ,TN,"11,573"
North Liberty ,IA,"11,561"
Webb City ,MO,"11,532"
Seabrook ,TX,"11,525"
Alton ,TX,"11,523"
Cordele ,GA,"11,518"
Camden ,AR,"11,512"
Gloucester City ,NJ,"11,503"
Eunice ,LA,"11,500"
Winfield ,KS,"11,497"
Verona ,WI,"11,486"
Norton ,OH,"11,472"
Cornelius ,OR,"11,464"
Northlake ,IL,"11,462"
Urbana ,OH,"11,442"
Haddonfield,NJ,"11,442"
Port Lavaca ,TX,"11,432"
Freehold,NJ,"11,425"
Yazoo City ,MS,"11,425"
Douglas ,GA,"11,413"
Cottonwood ,AZ,"11,412"
Hasbrouck Heights,NJ,"11,410"
Crestwood ,MO,"11,408"
Burr Ridge,IL,"11,398"
Washington ,IN,"11,397"
Cloquet ,MN,"11,387"
Ravenna ,OH,"11,381"
Yeadon,PA,"11,367"
Ferndale ,WA,"11,359"
Tuskegee ,AL,"11,357"
Vidalia ,GA,"11,355"
Choctaw ,OK,"11,354"
Coshocton ,OH,"11,353"
Emmaus,PA,"11,349"
Azle ,TX,"11,347"
New Baltimore ,MI,"11,346"
Somers Point ,NJ,"11,343"
Fortuna ,CA,"11,329"
Manassas Park ,VA,"11,319"
Neosho ,MO,"11,317"
Fairfield ,AL,"11,316"
Leeds ,AL,"11,312"
Elk City ,OK,"11,311"
Pine Hill,NJ,"11,308"
Ironton ,OH,"11,307"
Wallington,NJ,"11,296"
Shelbyville ,KY,"11,294"
West Point ,MS,"11,292"
Waunakee,WI,"11,290"
Pontiac ,IL,"11,258"
Niles ,MI,"11,258"
Roma ,TX,"11,257"
North St. Paul ,MN,"11,247"
Festus ,MO,"11,246"
Baraboo ,WI,"11,244"
Canyon Lake ,CA,"11,243"
Bardstown ,KY,"11,242"
Lyndon ,KY,"11,242"
Woodinville ,WA,"11,240"
Alexandria ,MN,"11,237"
Fulton ,NY,"11,219"
Chamblee ,GA,"11,202"
Munhall,PA,"11,199"
Lakeway ,TX,"11,193"
Cambridge ,OH,"11,192"
River Forest,IL,"11,176"
Bellmawr,NJ,"11,176"
Kings Mountain ,NC,"11,175"
Port Washington ,WI,"11,174"
Shiloh,IL,"11,173"
Falls Church ,VA,"11,169"
Canandaigua ,NY,"11,168"
Portland ,TN,"11,154"
Dobbs Ferry,NY,"11,134"
Glen Rock,NJ,"11,131"
Arkadelphia ,AR,"11,130"
Scotts Valley ,CA,"11,128"
Little Chute,WI,"11,121"
Ogdensburg ,NY,"11,119"
Lighthouse Point ,FL,"11,118"
Beachwood ,OH,"11,108"
Lancaster,NY,"11,108"
Cedarburg ,WI,"11,101"
Fredericksburg ,TX,"11,098"
