city,state,population
El Cajon ,CA,"92,718"
Carson ,CA,"92,366"
Quincy ,MA,"92,339"
Clovis ,CA,"92,318"
San Mateo ,CA,"92,256"
Vacaville ,CA,"92,219"
San Angelo ,TX,"91,880"
Las Cruces ,NM,"91,865"
Beaverton ,OR,"91,757"
Greeley ,CO,"91,492"
New Bedford ,MA,"91,365"
Livonia ,MI,"91,220"
Vista ,CA,"91,144"
Fall River ,MA,"90,931"
Waukegan ,IL,"90,788"
Lawrence ,KS,"90,520"
Davie,FL,"90,238"
Tuscaloosa ,AL,"90,221"
Redding ,CA,"90,201"
Lawton ,OK,"90,091"
Yuma ,AZ,"90,041"
Sunrise ,FL,"89,026"
Westminster ,CA,"88,975"
Sparks ,NV,"88,602"
Santa Monica ,CA,"87,664"
Roswell ,GA,"87,657"
Nashua ,NH,"86,576"
Dearborn ,MI,"86,477"
Santa Maria ,CA,"86,356"
Spokane Valley ,WA,"86,144"
Santa Barbara ,CA,"86,093"
Alhambra ,CA,"85,953"
Longmont ,CO,"85,928"
Hesperia ,CA,"85,883"
Boca Raton ,FL,"85,670"
Fort Smith ,AR,"84,716"
Miami Beach ,FL,"84,633"
Warwick ,RI,"84,483"
Indio ,CA,"84,443"
Citrus Heights ,CA,"84,432"
Deltona ,FL,"84,408"
Federal Way ,WA,"84,309"
Hawthorne ,CA,"84,305"
Duluth ,MN,"84,284"
Lee's Summit ,MO,"84,208"
College Station ,TX,"84,128"
Yakima ,WA,"84,074"
Chico ,CA,"83,791"
Plantation ,FL,"83,628"
Norwalk ,CT,"83,185"
Chino ,CA,"83,031"
Pearland ,TX,"82,903"
Trenton ,NJ,"82,883"
Ogden ,UT,"82,865"
Sioux City ,IA,"82,807"
Sandy Springs ,GA,"82,674"
Suffolk ,VA,"82,302"
Whittier ,CA,"82,267"
Racine ,WI,"82,196"
Newton ,MA,"82,139"
Avondale ,AZ,"81,299"
Bloomington ,MN,"81,280"
Allen ,TX,"81,268"
Sugar Land ,TX,"80,704"
Cicero,IL,"80,414"
Nampa ,ID,"80,362"
Livermore ,CA,"80,188"
Cranston ,RI,"79,980"
Newport Beach ,CA,"79,661"
Rio Rancho ,NM,"79,655"
Greenville ,NC,"79,629"
Edmond ,OK,"79,559"
Champaign ,IL,"79,389"
Camden ,NJ,"79,383"
Buena Park ,CA,"79,379"
Danbury ,CT,"79,256"
Tracy ,CA,"79,196"
San Marcos ,CA,"79,114"
Westland ,MI,"78,961"
Bellingham ,WA,"78,905"
Farmington Hills ,MI,"78,522"
Lakewood ,CA,"78,444"
Canton ,OH,"78,362"
Clifton ,NJ,"78,219"
Parma ,OH,"77,947"
San Leandro ,CA,"77,880"
Evanston ,IL,"77,693"
Baldwin Park ,CA,"77,380"
Melbourne ,FL,"77,351"
Longview ,TX,"77,211"
Bend ,OR,"77,181"
Merced ,CA,"77,160"
O'Fallon ,MO,"76,819"
Hammond ,IN,"76,732"
Decatur ,IL,"76,256"
Jacksonville ,NC,"76,233"
St. Joseph ,MO,"76,197"
Albany ,GA,"75,831"
Somerville ,MA,"75,662"
Lake Forest ,CA,"75,566"
Southfield ,MI,"75,392"
Missouri City ,TX,"74,723"
Deerfield Beach ,FL,"74,584"
Napa ,CA,"74,547"
Asheville ,NC,"74,543"
New Rochelle ,NY,"74,115"
Redwood City ,CA,"74,060"
Chino Hills ,CA,"73,879"
Arlington Heights,IL,"73,399"
Fayetteville ,AR,"73,372"
Medford ,OR,"73,212"
Bellflower ,CA,"73,033"
Bloomington ,IL,"73,026"
Youngstown ,OH,"72,925"
Largo ,FL,"72,732"
St. George ,UT,"72,718"
Lynchburg ,VA,"72,596"
Wilmington ,DE,"72,592"
Gastonia ,NC,"72,505"
Bryan ,TX,"72,357"
Palm Coast ,FL,"72,316"
Bethlehem ,PA,"72,241"
Scranton ,PA,"72,233"
Kalamazoo ,MI,"72,179"
Union City ,CA,"72,123"
Upland ,CA,"72,091"
Santa Fe ,NM,"71,831"
Bloomington ,IN,"71,819"
Tustin ,CA,"71,814"
Pawtucket ,RI,"71,765"
Schaumburg,IL,"71,716"
Edinburg ,TX,"71,520"
Plymouth ,MN,"71,486"
Mountain View ,CA,"71,348"
Brooklyn Park ,MN,"71,308"
League City ,TX,"71,222"
Lake Charles ,LA,"71,061"
Hoover ,AL,"71,020"
Hemet ,CA,"70,991"
Bolingbrook,IL,"70,823"
Alameda ,CA,"70,580"
New Britain ,CT,"70,486"
Wyoming ,MI,"70,462"
Baytown ,TX,"70,330"
Appleton ,WI,"70,305"
Lorain ,OH,"70,239"
Apple Valley,CA,"70,200"
Gulfport ,MS,"70,055"
Lynwood ,CA,"70,025"
Lawrence ,MA,"70,014"
Redlands ,CA,"69,689"
Flower Mound,TX,"69,307"
Rochester Hills ,MI,"69,014"
Fishers,IN,"69,011"
Mount Vernon ,NY,"68,653"
Turlock ,CA,"68,404"
Boynton Beach ,FL,"68,291"
Missoula ,MT,"68,202"
Springdale ,AR,"68,180"
Waukesha ,WI,"68,008"
Iowa City ,IA,"67,831"
Folsom ,CA,"67,788"
Marietta ,GA,"67,562"
Milpitas ,CA,"67,503"
Rock Hill ,SC,"67,339"
Palatine,IL,"67,080"
Lauderhill ,FL,"67,073"
St. Cloud ,MN,"66,948"
Kenner ,LA,"66,942"
Meridian ,ID,"66,916"
Passaic ,NJ,"66,884"
Redondo Beach ,CA,"66,882"
Pleasanton ,CA,"66,828"
Carmel ,IN,"66,769"
Waterloo ,IA,"66,662"
Skokie,IL,"66,620"
Dothan ,AL,"66,505"
Concord ,NC,"66,311"
Pontiac ,MI,"66,095"
Yorba Linda ,CA,"65,717"
Loveland ,CO,"65,587"
Layton ,UT,"65,514"
Rapid City ,SD,"65,491"
Mount Pleasant,SC,"65,472"
Eau Claire ,WI,"65,426"
Fort Myers ,FL,"65,394"
East Orange ,NJ,"65,390"
Pharr ,TX,"65,258"
North Richland Hills ,TX,"65,078"
Manteca ,CA,"65,028"
Muncie ,IN,"64,975"
Harlingen ,TX,"64,843"
Laguna Niguel ,CA,"64,469"
St. Charles ,MO,"64,386"
Daytona Beach ,FL,"64,211"
Pittsburg ,CA,"64,148"
Delray Beach ,FL,"64,092"
Lafayette ,IN,"64,049"
Eagan ,MN,"63,985"
Jonesboro ,AR,"63,960"
