Member,Party,Home State,District,Meeting Type,Date,Time,Location,Address
Matt Gaetz,Republican,Florida,FL-1,Other,"Thu, Feb 23, 2017","7:00 PM, EST",Oops Bowling Alley,"3721 US-90, Pace, FL 32571"
Matt Gaetz,Republican,Florida,FL-1,Other,"Thu, Feb 23, 2017","12:00 PM, EST",Grover T's Restaurant,"5887 US-90, Milton, FL 32571"
Matt Gaetz,Republican,Florida,FL-1,Tele-town Hall,"Thu, Feb 23, 2017","8:00 AM, EST",1330AM WEBY Radio,Florida
Daniel Webster,Republican,Florida,FL-11,Town Hall,"Thu, Feb 23, 2017","2:00 PM, EST",Minneola City Hall,"800 US-27 #101, Minneola, FL 34715"
Daniel Webster,Republican,Florida,FL-11,Other,"Fri, Feb 24, 2017","11:00 AM, EST",Sumter County Annex Buildings,"8015 E County Rd 466 b, The Villages, FL 32162"
Stephanie Murphy,Democrat,Florida,FL-07,Other,"Fri, Feb 24, 2017","10:00 AM, EST",Oviedo Mall Community Room,"1700 Oviedo Mall Boulevard, Oviedo, FL 32765"
Ted Yoho,Republican,Florida,FL-03,Town Hall,"Sat, Mar 4, 2017","10:00 AM, EST",Santa Fe College Fine Arts Hall,"3000 NW 83 St, Gainesville, FL 32606"
Carlos Curbelo,Republican,Florida,FL-26,Tele-town Hall,"Wed, Mar 29, 2017","7:00 PM, EST",Call-in,Florida
Brian Mast,Republican,Florida,FL-18,Town Hall,"Fri, Feb 24, 2017","1:00 PM, EST",Havert L. Fenn Center,"2000 Virginia Ave, Fort Pierce, FL 34982"
Gus Bilirakis,Republican,Florida,FL-12,Town Hall,"Wed, Feb 22, 2017","6:00 PM, EST",Wesley Chapel High School Performing Arts Center,"30651 Wells Rd, Wesley Chapel, FL 33545"
Buddy Carter,Republican,Georgia,GA-01,Town Hall,"Tue, Feb 21, 2017","3:00 PM, EST",Armstrong College Center Auditorium,"13040 Abercorn St, Savannah, GA 31419"
Buddy Carter,Republican,Georgia,GA-01,Town Hall,"Wed, Feb 22, 2017","10:30 AM, EST",Coastal Pines Technical College,"1777 W Cherry St, Jesup, GA 31545"
Buddy Carter,Republican,Georgia,GA-01,Town Hall,"Wed, Feb 22, 2017","2:30 PM, EST",Coastel Pines Technical College,"1701 Carswell Ave, Waycross, GA 31503"
David Perdue,Republican,Georgia,Senate,Office Hours,"Thu, Feb 23, 2017","10:00 AM, EST",Henry County Farm Bureau,"117 Racetrack Rd, McDonough, GA 30253"
Buddy Carter,Republican,Georgia,GA-01,Town Hall,"Thu, Feb 23, 2017","10:00 AM, EST",College of Coastal Georgia,"College Dr, Brunswick, GA 31520"
Buddy Carter,Republican,Georgia,GA-01,Town Hall,"Thu, Feb 23, 2017","2:30 PM, EST",College of Coastal Georgia,"College of Coastal Georgia Camden Center, 8001 Lakes Blvd E, Kingsland, GA 31548"
Hank Johnson,Democratic,Georgia,GA-4,Other,"Fri, Mar 3, 2017","10:00 AM, EST",Georgia Piedmont Technical College,"495 N Indian Creek Dr, Clarkston, GA 30021"
Tulsi Gabbard,Democratic,Hawaii,HI-2,Office Hours,"Fri, Feb 24, 2017","12:00 PM,",Kailua Public Library,"239 Kuulei Rd, Kailua, HI 96734"
Tulsi Gabbard,Democratic,Hawaii,HI-2,Office Hours,"Fri, Feb 24, 2017","12:00 PM,",Kailua Public Library,"239 Kuulei Rd, Kailua, HI 96734"
Tulsi Gabbard,Democrat,Hawaii,HI-01,Office Hours,"Fri, Feb 24, 2017","12:00 PM, HAST",Kailua Public Library,"239 Kuulei Rd, Kailua, HI 96734"
Rodney Davis,Republican,Illinois,IL-13,Mobile Office Hours,"Wed, Feb 22, 2017","11:00 AM, CST",Boys & Girls Club of Central Illinois,"300 S 15th St, Springfield, IL 62703"
Bill Foster,Democrat,Illinois,IL-011,Other,"Wed, Feb 22, 2017","9:00 AM, CST",Aurora Public Library (Eola Branch),"555 S Eola Rd, Aurora, IL 60504"
